nmajor,major1,major2,BBRJ,Business Direct Admit,Combined Bacc and Masters,Dean's List,First Generation College Stdnt,FSB Scholars,Honors Program,President's List,Study Abroad Courtesy Account,Transfer Work (Pre-Banner),Cum Laude,Magna Cum Laude,Summa Cum Laude,University Honors,UniversityHonors w/Distinction,minor1,minor2,IPEDS.Race.Ethnicity,Gender,GPA.Range,Term.Code,year.x,latin_honors,survey_city,survey_company,survey_deptfunc,survey_gradprogram,survey_gradschool,survey_internfour,survey_internone,survey_internships,survey_internthree,survey_interntwo,survey_offers,survey_plans,survey_pref_field,survey_pref_loc,survey_salary,survey_state
1,Marketing,none,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Interactive Media Studies,Interactive Media Studies,White,Male,3.00 - 3.49,201920,2019,0,,Frito-Lay,Marketing/Sales,,,,Cyber Click,2,,Lendkey,3,accepted fulltime job,Yes,Yes,60000,
1,Marketing,none,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,No Minor,No Minor,White,Male,3.50 - 4.00,201920,2019,Cum Laude,Columbus,Columbus Sports Commission,"Advertising / Public Relations

 Marketing / Sales",,,,The Memorial Tournament,2,,Alliance Data Card Services,2,accepted fulltime job,Yes,Yes,40000,OH
1,Accountancy,none,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,No Minor,No Minor,Hispanic/Latino,Male,3.00 - 3.49,201920,2019,0,Cincinnati,J.C. Baker & Associates,Consulting,,,,KPMG,2,,KPMG,2,accepted fulltime job,Yes,Yes,,Ohio
1,Supply Chain & Operations Mgmt,none,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,Humanities,Humanities,White,Male,3.00 - 3.49,202120,2021,0,Columbus,DHL Supply Chain,Logistics / Supply Chain Operations / Procurement,,,,DHL Supply Chain,1,,,1,accepted fulltime job,Yes,Yes,55000,OH
2,Accountancy,Finance,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,Humanities,Humanities,White,Male,3.50 - 4.00,201920,2019,Cum Laude,Chicago,KPMG,,,,,,,,,,accepted fulltime job,,,71000,IL
1,Business Economics,none,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,Business Analytics,Business Analytics,White,Female,3.00 - 3.49,202020,2020,0,Mason,Macy's Credit and Customer Service Center,Analytics General Management,,,,Cincinnati Insurance Companies (Cincinnati Financial),2,,Macy's Credit and Customer Service Center,1,accepted fulltime job,Yes,Yes,55000,OH
1,Finance,none,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,Marketing,Marketing,White,Male,3.00 - 3.49,202020,2020,0,Chicago,West Monroe Partners,Consulting Finance,,,,Textron,2,,West Monroe Partners,2,accepted fulltime job,Yes,Yes,70000,IL
1,Management and Leadership,none,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Supply Chain Management,No Minor,White,Female,3.00 - 3.49,201920,2019,0,Providence,Textron Systems,Human Resources,,,,Textron Systems,2,,Detroit Manufacturing Systems,2,accepted fulltime job,Yes,Yes,56500,Rhode Island
1,Finance,none,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,Language,Language,White,Male,3.00 - 3.49,201920,2019,0,,Polyone,Finance,,,,,1,,,3,accepted fulltime job,Yes,No,65000,OH
1,Interdisciplinary Bus Managemt,none,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,No Minor,No Minor,Hispanic/Latino,Male,2.50 - 2.99,201930,2019,0,,,,,,,,,,,,,,,,
1,Human Capital Mgmt& Leadership,none,1,0,0,1,1,0,1,0,0,0,1,0,0,1,0,No Minor,No Minor,White,Female,3.50 - 4.00,201920,2019,Cum Laude,,,,Master of Art,Xavier University,,The Center for Addiction Treatment,2,,Office of Community Engagement and Service (Miami U),0,continuing education,,,,
1,Marketing,none,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,No Minor,No Minor,Hispanic/Latino,Male,2.50 - 2.99,202020,2020,0,,,,,,,T-Brothers Trucking,1,,,,,,,,
1,Finance,none,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Minor,No Minor,White,Male,3.00 - 3.49,202120,2021,0,,,,,,,Machinery Marketing International,3,Goldman Sachs,Voya Investment Management,2,seeking employment,,,,
1,Business Economics,none,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,Business Analytics,Business Analytics,White,Male,3.00 - 3.49,202120,2021,0,Cleveland,Progressive Insurance,Analytics,,,,Medical Mutual,2,,Business Volunteers Unlimited,0,accepted fulltime job,Yes,Yes,58000,OH
1,Accountancy,none,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,No Minor,No Minor,Non-Resident Alien,Male,3.00 - 3.49,202020,2020,0,,,,,Miami University,,Miami University,1,,,0,seeking employment,,,,
1,Finance,none,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,Information Systems,Information Systems,Non-Resident Alien,Male,2.50 - 2.99,201920,2019,0,,Omni Navitas,Finance,,,,,,,,,accepted fulltime job,,,60000,
1,Finance,none,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Minor,No Minor,Hispanic/Latino,Male,3.00 - 3.49,201930,2019,0,Detroit,Quicken Loans,"Finance

 Marketing / Sales",,,,Quicken loans,1,,,1,accepted fulltime job,Yes,No,40000,MI
1,Supply Chain & Operations Mgmt,none,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,No Minor,No Minor,Non-Resident Alien,Male,3.00 - 3.49,201910,2019,0,,,,,,,,,,,,,,,,
1,Accountancy,none,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,No Minor,No Minor,Non-Resident Alien,Female,3.00 - 3.49,202120,2021,Cum Laude,,,,,,,,,,,,,,,,
2,Finance,Business Analytics,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,No Minor,No Minor,Hispanic/Latino,Male,3.00 - 3.49,202020,2020,0,,,,,,,,,,,,,,,,
2,Marketing,Supply Chain & Operations Mgmt,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,No Minor,No Minor,White,Female,3.50 - 4.00,201910,2019,0,Greensboro,Cardinal Health,Logistics/Supply Chain,,,,Textron,2,,PepsiCo,3,accepted fulltime job,Yes,Yes,56000,NC
1,Business Analytics,none,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,Language,No Minor,White,Female,3.50 - 4.00,202120,2021,Magna Cum Laude,Cleveland,Deloitte Consulting,,,,,McDonald's,2,,Progressive Insurance,2,accepted fulltime job,Yes,Yes,77500,OH
2,Accountancy,Finance,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,No Minor,No Minor,White,Female,3.50 - 4.00,201920,2019,Summa Cum Laude,Chicago,Guggenheim,,,,,Guggenheim,1,,,4,accepted fulltime job,Yes,,85000,IL
1,Finance,none,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,Humanities,Humanities,White,Male,3.50 - 4.00,201920,2019,Magna Cum Laude,Cleveland,EY,"Accounting

 Analytics

 Consulting",,,,Union Home Mortgage,2,,Goodyear,2,accepted fulltime job,Yes,Yes,53000,OH
1,Finance,none,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Minor,No Minor,White,Female,3.00 - 3.49,202120,2021,0,New York,JP Morgan Chase,Finance,,,,MedThink Inc.,3,JP Morgan Chase & Co.,Randa Accessories,1,accepted fulltime job,Yes,Yes,75000,NY
1,Management and Leadership,none,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,Language,Language,Hispanic/Latino,Female,3.00 - 3.49,201920,2019,0,Chicago,Huron Consulting,Consulting,,,,NEWaukee,2,,Meijer,1,accepted fulltime job,Yes,Yes,68000,IL
1,Marketing,none,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,No Minor,No Minor,White,Female,3.00 - 3.49,201920,2019,0,Chicago,Uber Freight,"Logistics / Supply Chain

 Marketing / Sales",,,,Dawson Careers,2,,NetJets,3,accepted fulltime job,Yes,Yes,62000,IL
1,Marketing,none,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,Information Systems,Information Systems,White,Female,3.00 - 3.49,202020,2020,0,,Total Quality Logistics,,,,,"Service Support Analyst, Mettler Toledo",1,,,0,accepted fulltime job,,,,
1,Accountancy,none,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Supply Chain Management,No Minor,White,Female,3.00 - 3.49,201920,2019,0,,,Accounting,,,,Deloitte,3,,,2,accepted fulltime job,,,60000,
1,Finance,none,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Minor,No Minor,White,Male,2.50 - 2.99,201910,2019,0,,,,,,,,,,,,,,,,
1,Finance,none,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,No Minor,No Minor,White,Male,3.00 - 3.49,202020,2020,0,,,,,,,Speedway,2,,Vertiv,2,seeking employment,,,,
1,Business Economics,none,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,No Minor,No Minor,White,Male,3.00 - 3.49,202020,2020,0,,,,ECO,,,Morgan Stanley,2,,Morgan Stanley,0,seeking employment,,,,
1,Marketing,none,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,Arts Related,Arts Related,White,Female,3.00 - 3.49,202120,2021,0,Dayton,Vivial,Marketing / Sales,,,,Vivial,1,,,1,accepted fulltime job,Yes,Yes,37000,OH
1,Finance,none,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,Business Analytics,No Minor,Multi Racial,Male,3.00 - 3.49,201920,2019,0,Cincinnati,Deloitte,"Accounting

 Finance",,,,IRG Realty Advisors,2,,Deloitte,1,accepted fulltime job,Yes,Yes,53000,Ohio
1,Accountancy,none,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,No Minor,No Minor,White,Female,3.00 - 3.49,202020,2020,0,,,,,Roosevelt University,,,0,,,0,continuing education,,,,
1,Finance,none,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,No Minor,No Minor,White,Male,3.00 - 3.49,202120,2021,0,,,,,,,,3,,,,,,,,
1,Marketing,none,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,Language,Language,White,Male,3.50 - 4.00,202120,2021,Cum Laude,Minneapolis,Cummins,Analytics Marketing / Sales,,,,Cummins,1,,,2,accepted fulltime job,Yes,Yes,60000,MN
1,Supply Chain & Operations Mgmt,none,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,Language,Language,Multi Racial,Male,3.50 - 4.00,202020,2020,Cum Laude,,Textron,Logistics / Supply Chain Operations / Procurement,,,,Kautex,1,,,3,accepted fulltime job,Yes,No,64000,
1,Marketing,none,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Entrepreneurship,No Minor,White,Male,3.00 - 3.49,201920,2019,0,New Albany,Abercrombie & Fitch,Other: Merchandising,,,,Cincinnati Sub Zero,3,Abercrombie & Fitch,Jumper Threads,1,accepted fulltime job,Yes,Yes,62500,Ohio
1,Marketing,none,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,Entrepreneurship,Entrepreneurship,White,Male,3.00 - 3.49,202020,2020,0,Chicago,Challenger,,,,,Upshift,3,"Ultimate Toys, Inc.","JoyRun, Inc",,accepted fulltime job,,,,IL
1,Marketing,none,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,Interactive Media Studies,Interactive Media Studies,White,Female,3.50 - 4.00,202120,2021,Cum Laude,TBD,PepsiCo,Marketing / Sales,,,,PepsiCo,1,,,1,accepted fulltime job,Yes,Yes,65000,TBD
1,Finance,none,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Accountancy,No Minor,White,Male,3.00 - 3.49,202020,2020,0,,,,,,,Simple Bath Ohio,1,,,0,seeking employment,,,,
1,Supply Chain & Operations Mgmt,none,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,Language,Language,White,Male,3.00 - 3.49,202020,2020,0,Dayton,The Reynolds and Reynolds Company,,,,,Kotsovos Furs and Fine Apparel,2,,Honda of America Manufacturing,0,accepted fulltime job,,,,OH
1,Finance,none,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Minor,No Minor,White,Male,3.00 - 3.49,202020,2020,0,Columbus,Orix Real Estate Capital,Finance,,,,Distributed Resource Ventures,2,,QuickenLoans,1,accepted fulltime job,Yes,No,65000,OH
1,Finance,none,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Language,No Minor,White,Male,2.50 - 2.99,202020,2020,0,,,,,,,JAG Architects,1,,,,,,,,
1,Finance,none,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,No Minor,No Minor,White,Male,3.00 - 3.49,201920,2019,0,Cleveland,Quicken Loan,Mareting/Sales,,,,,0,,,2,accepted fulltime job,Yes,Yes,28000,Ohio
1,Finance,none,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,No Minor,No Minor,White,Male,3.00 - 3.49,201920,2019,0,Cleveland,Cleveland Clinic,Finance,,,,,3,,,4,accepted fulltime job,Yes,Yes,62000,Ohio
1,Accountancy,none,0,1,1,1,0,1,1,0,0,0,0,1,0,1,0,Business Analytics,Business Analytics,Hispanic/Latino,Female,3.50 - 4.00,202020,2020,Magna Cum Laude,Chicago,EY,Accounting,MAcc,,,"Launch Intern, EY Chicago",2,,"Tax Intern, EY Denver",1,accepted fulltime job,Yes,Yes,62000,IL
1,Marketing,none,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Entrepreneurship,Entrepreneurship,White,Male,2.50 - 2.99,202120,2021,0,Covington,Fidelity Investments,Finance Marketing / Sales,,,,Family Wealth Advisory Group,2,,ClearDefense Pest Control,2,accepted fulltime job,Yes,Yes,45000,KY
1,Accountancy,none,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,No Minor,No Minor,White,Male,3.50 - 4.00,202120,2021,Magna Cum Laude,Liberty Valley,Hollster Inc,,,,,,1,,,4,accepted fulltime job,Yes,Yes,60000,IL
1,Finance,none,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Entrepreneurship,Humanities,White,Male,3.00 - 3.49,201920,2019,0,Chicago,BDO USA,,,,,DHL Supply Chain,2,,Quicken Loans,1,accepted fulltime job,Yes,,61000,IL
1,Finance,none,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,No Minor,No Minor,White,Male,3.00 - 3.49,202020,2020,0,St. Louis,Wells Fargo,Accounting Finance,,,,Grossman Iron and Steel,3,"Clayco, Inc.",Feature Studios,1,accepted fulltime job,Yes,Yes,60000,MO
1,Information Systems,none,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Supply Chain Management,No Minor,White,Male,2.50 - 2.99,202120,2021,0,Cincinnati,Nivo1,,,,,,,0,,2,accepted fulltime job,Yes,Yes,50000,Ohio
1,Marketing,none,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,Interactive Media Studies,No Minor,White,Female,3.50 - 4.00,201920,2019,Cum Laude,Dayton,Reynolds and Reynolds,Marketing / Sales,,,,3CDC,1,,,1,accepted fulltime job,Yes,Yes,39000,Ohio
1,Finance,none,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,Engineering/Science,No Minor,White,Male,3.50 - 4.00,202120,2021,Cum Laude,Cincinnati,Fifth Third Bank,Finance Operations / Procurement,,,,Fifth Third Bank,1,,,1,accepted fulltime job,Yes,Yes,54000,OH
1,Human Capital Mgmt& Leadership,none,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,International Business,International Business,White,Female,3.50 - 4.00,202020,2020,Cum Laude,Minneapolis,EY,Consulting,,,,Ernst & Young,1,,,1,accepted fulltime job,Yes,Yes,67000,MN
1,Finance,none,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Minor,No Minor,White,Female,3.00 - 3.49,201920,2019,0,Cleveland,KeyBank,"Finance

 Marketing / Sales",,,,Moche Inc.,2,,KeyBank,1,accepted fulltime job,Yes,Yes,55000,OH
1,Finance,none,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,Mangement and Leadership,Mangement and Leadership,White,Female,3.50 - 4.00,201920,2019,Cum Laude,Columbus,Abercrombie & Fitch,Finance,,,,Abercrombie & Fitch,2,,CBS,1,accepted fulltime job,Yes,Yes,62500,OH
1,Finance,none,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,Business Analytics,Language,White,Male,3.50 - 4.00,202020,2020,Cum Laude,Chicago,Capgemini Invent,Consulting,,,,Otis Elevator,3,United Technologies,Otis Elevator,2,accepted fulltime job,Yes,Yes,70000,IL
1,Marketing,none,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Humanities,No Minor,Non-Resident Alien,Male,2.50 - 2.99,201920,2019,0,,,,,Claremont Graduate University,,,,,,,continuing education,,,,CA
1,Finance,none,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,Business Analytics,Business Analytics,White,Male,3.50 - 4.00,202120,2021,Magna Cum Laude,,,,,,,,1,,,,seeking employment,,,,
1,Marketing,none,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,No Minor,No Minor,Asian,Male,3.00 - 3.49,202020,2020,0,,,,,,,New Era Cap,1,,,,,,,,
1,Business Economics,none,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,International Business,International Business,Non-Resident Alien,Male,2.50 - 2.99,201910,2019,0,,,,,,,,,,,,,,,,
1,Supply Chain & Operations Mgmt,none,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Information Systems,No Minor,White,Male,3.00 - 3.49,202020,2020,0,,,,,,,Wareham Gatemen,2,,Colliers International,0,seeking employment,,,,
2,Information Systems,Supply Chain & Operations Mgmt,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,No Minor,No Minor,White,Male,3.50 - 4.00,202120,2021,Cum Laude,,,,,,,,3,,,,accepted fulltime job,,,,
1,Finance,none,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Minor,No Minor,White,Male,2.00 - 2.49,201920,2019,0,,,,,,,,,,,,,,,,
1,Finance,none,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Minor,No Minor,Non-Resident Alien,Female,3.00 - 3.49,202120,2021,0,,,,Mast of Finance,CWRU,,CICC,2,,CCB,0,continuing education,,,,
1,Accountancy,none,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,No Minor,No Minor,Non-Resident Alien,Male,3.00 - 3.49,202010,2020,0,,,,,,,,,,,,,,,,
1,Accountancy,none,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,No Minor,No Minor,Non-Resident Alien,Male,3.00 - 3.49,202020,2020,0,,,,,,,Beijing Ruishengbo Technology & Development Co,1,,,0,seeking continuing education,,,,
1,Finance,none,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,No Minor,No Minor,Non-Resident Alien,Male,3.50 - 4.00,202110,2021,Cum Laude,,,,,,,,2,,,,,,,,
2,Finance,Management and Leadership,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,No Minor,No Minor,Hispanic/Latino,Male,3.00 - 3.49,201920,2019,0,New Albany,Abercrombie & Fitch,"Analytics

 Finance",,,,Midtronics Inc,3,Marathon Petroleum,Golan Christie & Taglia LLP,1,accepted fulltime job,Yes,No,60000,Ohio/ United States
1,Finance,none,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Entrepreneurship,Entrepreneurship,White,Male,3.00 - 3.49,202020,2020,0,Philadelphia,Stifel Financial Corp,,,,,Guardian Capital Partners,2,,Stifel Financial Corp.,,accepted fulltime job,,,,PA
1,Business Economics,none,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Business Analytics,No Minor,White,Male,3.00 - 3.49,202120,2021,0,Chicago,West Monroe Partners,,,,,Textron Systems,1,,,1,accepted fulltime job,,,70000,IL
1,Interdisciplinary Bus Managemt,none,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,No Minor,No Minor,White,Female,3.50 - 4.00,201920,2019,Summa Cum Laude,,,,,,,Stryker,1,,,0,seeking employment,,,,
1,Supply Chain & Operations Mgmt,none,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Humanities,Marketing,White,Female,3.00 - 3.49,201920,2019,0,Dublin,Univar Solutions,Operations / Procurement,,,,Henry Schein Animal Health,2,,Takeda Pharmaceuticals,2,accepted fulltime job,Yes,Yes,45000,Ohio
1,Finance,none,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Business Analytics,No Minor,White,Male,3.00 - 3.49,202120,2021,0,St. Louis,Enterprise Rent-A-Car,Finance General Management Marketing / Sales Operations / Procurement,,,,Northwestern Mutual,2,,Private Wealth Management LLC,1,accepted fulltime job,Yes,Yes,42000,MO
2,Business Economics,Marketing,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,No Minor,No Minor,White,Female,3.50 - 4.00,201920,2019,Cum Laude,,,,,,,,0,,,,seeking employment,,,,
1,Accountancy,none,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,No Minor,No Minor,White,Male,3.00 - 3.49,201920,2019,0,Cincinnati,Ernst & Young,Accounting,,,,Cintas Corporation,2,,Ernst & Young,3,accepted fulltime job,Yes,Yes,51000,OH
1,Marketing,none,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Business Analytics,No Minor,White,Female,3.00 - 3.49,201920,2019,0,Cincinnati,Nielsen,"Analytics

 Marketing / Sales",,,,Eli Lilly & Company,3,Cardinal Health,Roche Diagnostics,6,accepted fulltime job,Yes,Yes,56000,OH
2,Accountancy,Finance,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,No Minor,No Minor,White,Female,3.50 - 4.00,202020,2020,Cum Laude,Chicago,Baxter International,Accounting Finance,,,,Baxter International,1,,,1,accepted fulltime job,Yes,Yes,60000,IL
1,Marketing,none,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Humanities,No Minor,White,Female,2.50 - 2.99,202130,2021,0,Cincinnati,Unlimited Systems,,,,,,,0,,2,accepted fulltime job,No,Yes,45000,Ohio
1,Marketing,none,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,Mangement and Leadership,Mangement and Leadership,White,Female,3.50 - 4.00,202020,2020,Cum Laude,,SocialCode,,,,,Commerce Bank,1,,,1,accepted fulltime job,,,40000,
2,Accountancy,Finance,0,1,1,0,0,0,1,0,0,0,0,0,1,1,0,No Minor,No Minor,Multi Racial,Male,3.50 - 4.00,202120,2021,Summa Cum Laude,TBD,Textron,Accounting Finance,,,,Textron,1,,,1,accepted fulltime job,Yes,Yes,65000,TBD
1,Accountancy,none,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,Mangement and Leadership,No Minor,White,Female,3.50 - 4.00,202120,2021,Cum Laude,Cleveland,Sherwin-Williams,Accounting,,,,Sherwin-Williams,1,,,1,accepted fulltime job,Yes,Yes,52250,OH
1,Accountancy,none,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Information Systems,No Minor,White,Female,3.00 - 3.49,201920,2019,0,Mentor,Avery Dennison,"Accounting

 Finance",,,,Health Carousel,2,,Avery Dennison,1,accepted fulltime job,Yes,Yes,60000,Ohio
1,Accountancy,none,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Arts Related,Arts Related,White,Female,3.00 - 3.49,201920,2019,0,Hamiliton,Kirsch CPA,Accounting,,,,Cincinnati Opera,3,Kirsch,Greif Inc,3,accepted fulltime job,Yes,Yes,55000,OH
1,Marketing,none,0,1,0,1,0,0,1,0,0,0,0,1,0,1,0,No Minor,No Minor,White,Female,3.50 - 4.00,201920,2019,Cum Laude,Chicago,Spark Foundry,Marketing/Sales,,,,Suite X,3,Rosenthal Collins Group,Kaleidoscope,,accepted fulltime job,,,38000,IL
1,Supply Chain & Operations Mgmt,none,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,No Minor,No Minor,White,Male,2.50 - 2.99,202020,2020,0,Cincinnati,Stett Transportation,,,,,Stett Transportation,1,,,0,accepted fulltime job,,,,OH
2,Human Capital Mgmt& Leadership,Marketing,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,No Minor,No Minor,White,Female,3.50 - 4.00,202120,2021,Cum Laude,Blue Ash,MarketVision Research,Marketing / Sales,,,,Barracuda Networks,3,MarketVision Research,Darko Inc.,1,accepted fulltime job,Yes,Yes,54000,OH
1,Finance,none,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Sport Management,No Minor,White,Male,2.50 - 2.99,202130,2021,0,,,,,,,,,,,,,,,,
2,Management and Leadership,Marketing,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,Language,Language,White,Female,3.50 - 4.00,202020,2020,Cum Laude,,,,,,,Stryker,2,,E&J Gallo,3,seeking employment,,,,
2,Accountancy,Information Systems,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,Language,Language,White,Female,3.50 - 4.00,202120,2021,Cum Laude,New York,PwC,IT Assurance / IT Audit,,,,PriceWaterhouseCoopers,1,,,1,accepted fulltime job,Yes,Yes,68000,NY
1,Supply Chain & Operations Mgmt,none,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Health Related,Health Related,White,Female,3.00 - 3.49,201920,2019,0,,,,,,,Nordstrom,1,,,0,other,,,,
1,Finance,none,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,No Minor,No Minor,White,Male,3.50 - 4.00,201920,2019,Cum Laude,cleveland,quicken loans,Marketing / Sales,,,,Quicken Loans,2,,Quicken Loans,2,accepted fulltime job,No,Yes,28000,ohio
1,Accountancy,none,0,1,0,1,0,0,1,0,1,1,0,1,0,1,0,No Minor,No Minor,Hispanic/Latino,Male,3.50 - 4.00,202120,2021,Cum Laude,Charlotte,Doeren Mayhew,,,,AvidXchange,,1,1,,1,accepted fulltime job,Yes,Yes,60000,North Carolina
1,Marketing,none,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,Humanities,Humanities,White,Male,3.00 - 3.49,202120,2021,0,,,,,,,,0,,,2,seeking employment,,,,
1,Accountancy,none,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,No Minor,No Minor,White,Male,3.50 - 4.00,201920,2019,Summa Cum Laude,Boston,EY,Accounting,,,,EY,1,,,1,accepted fulltime job,Yes,Yes,60000,MA
1,Marketing,none,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,No Minor,No Minor,White,Male,3.50 - 4.00,202020,2020,Cum Laude,Cincinnati,Kate Schroder for Congress,,,,,Lean Industries,3,Kate Schroder for Congress,U.S. House Democratic Caucus,0,accepted fulltime job,,,,OH
1,Marketing,none,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,No Minor,No Minor,White,Female,2.50 - 2.99,202120,2021,0,,,,,,,,,,,,seeking employment,,,,
1,Marketing,none,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,No Minor,No Minor,White,Male,2.50 - 2.99,202120,2021,0,Columbus,Netjets,,,,,,0,,,2,accepted fulltime job,,,,OH
1,Finance,none,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Minor,No Minor,White,Male,3.00 - 3.49,201920,2019,0,Cincinnati,,Consulting/Finance,,,,Ritter Daniher Financial Advisory,3,,Comstock Advisors,0,seeking employment,,,,Ohio
1,Marketing,none,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,No Minor,No Minor,White,Male,2.50 - 2.99,201920,2019,0,Chicago,Coyote,Marketing/Sales,,,,,,,,,accepted fulltime job,,,40000,IL
1,Marketing,none,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,Humanities,Humanities,White,Male,3.00 - 3.49,202120,2021,0,Chicago,Oracle,Marketing / Sales,,,,Entertainment Cruises (now known as City Experiences),2,,Echo Global Logistics,2,accepted fulltime job,Yes,Yes,50000,IL
1,Marketing,none,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Minor,No Minor,White,Male,3.00 - 3.49,202020,2020,0,,,,,,,WAVE Foundation - Newport Aquarium,3,Scene75 Entertainment Center,Kelsey Hopper Services,,,,,,
