"","nmajor","major1","BBRJ","Business Direct Admit","Combined Bacc and Masters","Dean's List","First Generation College Stdnt","FSB Scholars","Honors Program","President's List","Study Abroad Courtesy Account","Transfer Work (Pre-Banner)","UniversityHonors w/Distinction","minor1","minor2","IPEDS.Race.Ethnicity","Gender","GPA.Range","year.x","latin_honors","survey_city","survey_company","survey_deptfunc","survey_gradprogram","survey_gradschool","survey_internships","survey_offers","survey_plans","survey_pref_field","survey_pref_loc","survey_salary","double_major"
"425",2,"Business Economics",0,1,0,0,0,0,0,1,0,0,0,"No Minor","No Minor","White","Female","3.50 - 4.00",2019,"Cum Laude","Cincinnati","Worldpay","Finance",NA,NA,"2","2","accepted fulltime job","Yes","Yes",55000,"Double Major"
"426",1,"Human Capital Mgmt& Leadership",0,0,0,1,0,0,0,0,0,0,0,"Arts Related","No Minor","Non-Resident Alien","Female","3.50 - 4.00",2020,"Cum Laude",NA,NA,NA,NA,NA,"3","0","seeking employment",NA,NA,NA,"No Double Major"
"427",1,"Marketing",0,1,0,0,0,0,0,0,0,0,0,"Sport Management","No Minor","Hispanic/Latino","Male","3.00 - 3.49",2020,"0",NA,NA,NA,NA,NA,"1","0","seeking employment",NA,NA,NA,"No Double Major"
"428",1,"Finance",0,1,0,0,0,0,0,0,1,1,0,"No Minor","No Minor","White","Male","3.00 - 3.49",2021,"0","Norwalk","AON",NA,NA,NA,"3","1","accepted fulltime job","Yes","No",53000,"No Double Major"
"429",2,"Entrepreneurship",0,1,0,0,0,0,0,0,0,0,0,"No Minor","No Minor","White","Female","3.00 - 3.49",2020,"0","New York","Social Entrepreneur Corps",NA,NA,NA,"1","0","accepted fulltime job",NA,NA,NA,"Double Major"
"430",1,"Management and Leadership",0,1,0,0,0,0,0,0,0,0,0,"No Minor","No Minor","White","Female","3.00 - 3.49",2020,"0","Addison","Connelly Electric","Human Resources",NA,NA,"2","2","accepted fulltime job","Yes","Yes",65000,"No Double Major"
"431",1,"Finance",0,0,0,0,0,0,0,0,0,0,0,"Language","No Minor","White","Male","3.00 - 3.49",2020,"0","Chicago","Grainger Inc.","Finance",NA,NA,"2","2","accepted fulltime job","Yes","Yes",71000,"No Double Major"
"432",1,"Accountancy",0,0,0,0,0,0,0,0,0,0,0,"No Minor","No Minor","White","Female","2.50 - 2.99",2019,"0","Boston","PFK",NA,NA,NA,NA,NA,"accepted fulltime job",NA,NA,NA,"No Double Major"
"433",1,"Supply Chain & Operations Mgmt",0,1,0,0,0,0,1,0,0,0,0,"Language","Language","White","Male","3.00 - 3.49",2021,"Cum Laude",NA,NA,NA,NA,NA,"1","2","seeking employment",NA,NA,NA,"No Double Major"
"434",1,"Information Systems",0,1,0,0,0,0,0,0,0,0,0,"No Minor","No Minor","White","Male","2.50 - 2.99",2020,"0",NA,NA,NA,NA,NA,"1","2","seeking employment",NA,NA,NA,"No Double Major"
"435",1,"Marketing",0,1,0,0,0,0,0,0,0,0,0,"Arts Related","No Minor","White","Female","3.00 - 3.49",2019,"0","Itasca","Keyence Corporation","Marketing/Sales",NA,NA,NA,NA,"accepted fulltime job","Yes","Yes",NA,"No Double Major"
"436",1,"Supply Chain & Operations Mgmt",0,1,0,0,0,0,0,0,0,0,0,"No Minor","No Minor","White","Male","3.00 - 3.49",2020,"0",NA,NA,NA,NA,NA,"2","2","military service",NA,NA,NA,"No Double Major"
"437",1,"Finance",0,1,0,0,1,0,0,0,0,0,0,"No Minor","No Minor","White","Male","3.00 - 3.49",2020,"0","Cleveland","Hanna Commercial Real Estate","Marketing / Sales",NA,NA,"3","4","accepted fulltime job","Yes","No",24000,"No Double Major"
"438",1,"Marketing",1,1,0,0,0,0,0,0,0,0,0,"No Minor","No Minor","White","Female","2.50 - 2.99",2020,"0","New York","DAC",NA,NA,NA,"1",NA,"accepted fulltime job",NA,NA,NA,"No Double Major"
